0.1742 	EXP 	btn_anger: autoDraw = True
0.1742 	EXP 	btn_disgust: autoDraw = True
0.1742 	EXP 	btn_fear: autoDraw = True
0.1742 	EXP 	btn_happiness: autoDraw = True
0.1742 	EXP 	btn_neutrality: autoDraw = True
0.1742 	EXP 	btn_sadness: autoDraw = True
1.1790 	EXP 	imageStim: autoDraw = False
27.8173 	DATA 	Mouse: Left button down, pos=(632,143)
27.8230 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'image_file': 'faces/066_y_m_d_b.jpg', 'correct_emotion': 'disgust', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
27.9097 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'image_file': 'faces/079_o_f_n_a.jpg', 'correct_emotion': 'neutrality', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
27.9995 	DATA 	Mouse:  Left button up, pos=(632,143)
28.0271 	EXP 	imageStim: autoDraw = False
28.0271 	EXP 	btn_anger: autoDraw = False
28.0271 	EXP 	btn_disgust: autoDraw = False
28.0271 	EXP 	btn_fear: autoDraw = False
28.0271 	EXP 	btn_happiness: autoDraw = False
28.0271 	EXP 	btn_neutrality: autoDraw = False
28.0271 	EXP 	btn_sadness: autoDraw = False
28.0271 	EXP 	imageStim: image = 'faces/066_y_m_d_b.jpg'
28.0271 	EXP 	imageStim: autoDraw = True
28.0271 	EXP 	btn_anger: autoDraw = True
28.0271 	EXP 	btn_disgust: autoDraw = True
28.0271 	EXP 	btn_fear: autoDraw = True
28.0271 	EXP 	btn_happiness: autoDraw = True
28.0271 	EXP 	btn_neutrality: autoDraw = True
28.0271 	EXP 	btn_sadness: autoDraw = True
28.0271 	EXP 	imageStim: autoDraw = False
28.0271 	EXP 	btn_anger: autoDraw = False
28.0271 	EXP 	btn_disgust: autoDraw = False
28.0271 	EXP 	btn_fear: autoDraw = False
28.0271 	EXP 	btn_happiness: autoDraw = False
28.0271 	EXP 	btn_neutrality: autoDraw = False
28.0271 	EXP 	btn_sadness: autoDraw = False
28.0271 	EXP 	imageStim: image = 'faces/079_o_f_n_a.jpg'
28.0271 	EXP 	imageStim: autoDraw = True
28.0271 	EXP 	btn_anger: autoDraw = True
28.0271 	EXP 	btn_disgust: autoDraw = True
28.0271 	EXP 	btn_fear: autoDraw = True
28.0271 	EXP 	btn_happiness: autoDraw = True
28.0271 	EXP 	btn_neutrality: autoDraw = True
28.0271 	EXP 	btn_sadness: autoDraw = True
29.0419 	EXP 	imageStim: autoDraw = False
39.4503 	DATA 	Mouse: Left button down, pos=(650,247)
39.5348 	DATA 	Mouse:  Left button up, pos=(650,247)
39.6005 	DATA 	Mouse: Left button down, pos=(650,247)
39.6845 	DATA 	Mouse:  Left button up, pos=(650,247)
39.9177 	DATA 	Mouse: Left button down, pos=(632,163)
39.9182 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'image_file': 'faces/140_y_f_s_a.jpg', 'correct_emotion': 'sadness', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
40.0241 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'image_file': 'faces/140_y_f_h_a.jpg', 'correct_emotion': 'happiness', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
40.1314 	DATA 	Mouse:  Left button up, pos=(632,161)
40.1543 	EXP 	imageStim: autoDraw = False
40.1543 	EXP 	btn_anger: autoDraw = False
40.1543 	EXP 	btn_disgust: autoDraw = False
40.1543 	EXP 	btn_fear: autoDraw = False
40.1543 	EXP 	btn_happiness: autoDraw = False
40.1543 	EXP 	btn_neutrality: autoDraw = False
40.1543 	EXP 	btn_sadness: autoDraw = False
40.1543 	EXP 	imageStim: image = 'faces/140_y_f_s_a.jpg'
40.1543 	EXP 	imageStim: autoDraw = True
40.1543 	EXP 	btn_anger: autoDraw = True
40.1543 	EXP 	btn_disgust: autoDraw = True
40.1543 	EXP 	btn_fear: autoDraw = True
40.1543 	EXP 	btn_happiness: autoDraw = True
40.1543 	EXP 	btn_neutrality: autoDraw = True
40.1543 	EXP 	btn_sadness: autoDraw = True
40.1543 	EXP 	imageStim: autoDraw = False
40.1543 	EXP 	btn_anger: autoDraw = False
40.1543 	EXP 	btn_disgust: autoDraw = False
40.1543 	EXP 	btn_fear: autoDraw = False
40.1543 	EXP 	btn_happiness: autoDraw = False
40.1543 	EXP 	btn_neutrality: autoDraw = False
40.1543 	EXP 	btn_sadness: autoDraw = False
40.1543 	EXP 	imageStim: image = 'faces/140_y_f_h_a.jpg'
40.1543 	EXP 	imageStim: autoDraw = True
40.1543 	EXP 	btn_anger: autoDraw = True
40.1543 	EXP 	btn_disgust: autoDraw = True
40.1543 	EXP 	btn_fear: autoDraw = True
40.1543 	EXP 	btn_happiness: autoDraw = True
40.1543 	EXP 	btn_neutrality: autoDraw = True
40.1543 	EXP 	btn_sadness: autoDraw = True
40.1563 	DATA 	Mouse: Left button down, pos=(630,155)
40.1568 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'image_file': 'faces/004_o_m_s_b.jpg', 'correct_emotion': 'sadness', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
40.2360 	DATA 	Mouse:  Left button up, pos=(630,155)
40.2445 	EXP 	imageStim: autoDraw = False
40.2445 	EXP 	btn_anger: autoDraw = False
40.2445 	EXP 	btn_disgust: autoDraw = False
40.2445 	EXP 	btn_fear: autoDraw = False
40.2445 	EXP 	btn_happiness: autoDraw = False
40.2445 	EXP 	btn_neutrality: autoDraw = False
40.2445 	EXP 	btn_sadness: autoDraw = False
40.2445 	EXP 	imageStim: image = 'faces/004_o_m_s_b.jpg'
40.2445 	EXP 	imageStim: autoDraw = True
40.2445 	EXP 	btn_anger: autoDraw = True
40.2445 	EXP 	btn_disgust: autoDraw = True
40.2445 	EXP 	btn_fear: autoDraw = True
40.2445 	EXP 	btn_happiness: autoDraw = True
40.2445 	EXP 	btn_neutrality: autoDraw = True
40.2445 	EXP 	btn_sadness: autoDraw = True
40.2773 	DATA 	Mouse: Left button down, pos=(630,155)
