image_file,correct_emotion,thisN,thisTrialN,thisRepN,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,imageStim.started,mouseResp.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.mouseResp.x,trials.mouseResp.y,trials.mouseResp.leftButton,trials.mouseResp.midButton,trials.mouseResp.rightButton,trials.mouseResp.time,clickedEmotion,correct,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/079_o_f_a_b.jpg,anger,20,20,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.0706140999973286],0,20,20,25,42.33640680000826,,42.316029299996444,42.33640680000826,0.07748289998562541,42.33640680000826,42.33640680000826,42.33640680000826,42.33640680000826,42.33640680000826,42.33640680000826,,42.38697240001056,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.0706140999973286],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/079_o_f_s_b.jpg,sadness,21,21,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08990419999463484],0,21,21,35,42.48632750000979,,42.465263699996285,42.48632750000979,0.07825310000043828,42.48632750000979,42.48632750000979,42.48632750000979,42.48632750000979,42.48632750000979,42.48632750000979,,42.55550200000289,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08990419999463484],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/140_y_f_s_b.jpg,sadness,22,22,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.059638999999151565],0,22,22,59,42.65364450000925,,42.641343700001016,42.65364450000925,0.08580250000522938,42.65364450000925,42.65364450000925,42.65364450000925,42.65364450000925,42.65364450000925,42.65364450000925,,42.70132249999733,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.059638999999151565],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/168_m_f_h_a.jpg,happiness,23,23,0,[],[],[],[],[],[],0,23,23,66,42.887974099998246,,42.78176880000683,42.887974099998246,0.08040500000061002,42.887974099998246,42.887974099998246,42.887974099998246,42.887974099998246,42.887974099998246,42.887974099998246,,42.78222910000477,[],[],[],[],[],[],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/140_y_f_d_b.jpg,disgust,24,24,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.049624000006588176],0,24,24,51,42.887974099998246,,42.867798500010394,42.887974099998246,0.08555630000773817,42.887974099998246,42.887974099998246,42.887974099998246,42.887974099998246,42.887974099998246,42.887974099998246,,42.91775849999976,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.049624000006588176],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/116_m_m_s_a.jpg,sadness,25,25,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08527710000635125],0,25,25,46,43.01874569999927,,42.9987897999963,43.01874569999927,0.0809746000013547,43.01874569999927,43.01874569999927,43.01874569999927,43.01874569999927,43.01874569999927,43.01874569999927,,43.08441300000413,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08527710000635125],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/140_y_f_d_a.jpg,disgust,26,26,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.0834374999976717],0,26,26,50,43.185654700006125,,43.17041089999839,43.185654700006125,0.08595570000761654,43.185654700006125,43.185654700006125,43.185654700006125,43.185654700006125,43.185654700006125,43.185654700006125,,43.25418200000422,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.0834374999976717],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/116_m_m_f_a.jpg,fear,27,27,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08474369999021292],0,27,27,40,43.35208579999744,,43.33610210000188,43.35208579999744,0.08187050001288299,43.35208579999744,43.35208579999744,43.35208579999744,43.35208579999744,43.35208579999744,43.35208579999744,,43.42118240000855,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08474369999021292],fear,1,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/079_o_f_a_a.jpg,anger,28,28,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.0857582999888109],0,28,28,24,43.51934349999647,,43.498327499997686,43.51934349999647,0.07710589999624062,43.51934349999647,43.51934349999647,43.51934349999647,43.51934349999647,43.51934349999647,43.51934349999647,,43.58443129999796,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.0857582999888109],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/066_y_m_h_a.jpg,happiness,29,29,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.12732749999850057],0,29,29,18,43.66885529999854,,43.65866129999631,43.66885529999854,0.07419270000536926,43.66885529999854,43.66885529999854,43.66885529999854,43.66885529999854,43.66885529999854,43.66885529999854,,43.7863345000078,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.12732749999850057],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
