image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger_2.numClicks,btn_anger_2.timesOn,btn_anger_2.timesOff,btn_disgust_2.numClicks,btn_disgust_2.timesOn,btn_disgust_2.timesOff,btn_fear_2.numClicks,btn_fear_2.timesOn,btn_fear_2.timesOff,btn_happiness_2.numClicks,btn_happiness_2.timesOn,btn_happiness_2.timesOff,btn_neutrality_2.numClicks,btn_neutrality_2.timesOn,btn_neutrality_2.timesOff,btn_sadness_2.numClicks,btn_sadness_2.timesOn,btn_sadness_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial_face.started,image_stim.started,trial_face.stopped,trial_response.started,btn_anger_2.started,btn_disgust_2.started,btn_fear_2.started,btn_happiness_2.started,btn_neutrality_2.started,btn_sadness_2.started,trial_response.stopped,trials.btn_anger_2.numClicks,trials.btn_anger_2.timesOn,trials.btn_anger_2.timesOff,trials.btn_disgust_2.numClicks,trials.btn_disgust_2.timesOn,trials.btn_disgust_2.timesOff,trials.btn_fear_2.numClicks,trials.btn_fear_2.timesOn,trials.btn_fear_2.timesOff,trials.btn_happiness_2.numClicks,trials.btn_happiness_2.timesOn,trials.btn_happiness_2.timesOff,clickedEmotion,correct,trials.btn_neutrality_2.numClicks,trials.btn_neutrality_2.timesOn,trials.btn_neutrality_2.timesOff,trials.btn_sadness_2.numClicks,trials.btn_sadness_2.timesOn,trials.btn_sadness_2.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/079_o_f_s_b.jpg,sadness,139,67,1,0,,,1,[0.0018463000014889985],[0.0018548999942140654],0,,,0,,,0,,,0,,,1,67,139,35,65.06367560000217,,,,,,,,,65.0553157999966,65.06367560000217,65.21092130000761,65.21140879999439,65.22999239999626,65.22999239999626,65.22999239999626,65.22999239999626,65.22999239999626,65.22999239999626,65.23261300000013,0,,,1,[0.0018463000014889985],[0.0018548999942140654],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/116_m_m_s_b.jpg,sadness,140,68,1,0,,,1,[0.03594449999218341],[0.0359514999872772],0,,,0,,,0,,,0,,,1,68,140,47,65.34263660000579,,,,,,,,,65.3339982000034,65.34263660000579,65.48641710000811,65.48689990000275,65.50693869999668,65.50693869999668,65.50693869999668,65.50693869999668,65.50693869999668,65.50693869999668,65.54353080000146,0,,,1,[0.03594449999218341],[0.0359514999872772],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/116_m_m_s_a.jpg,sadness,141,69,1,0,,,1,[0.015255699996487238],[0.015260200001648627],0,,,0,,,0,,,0,,,1,69,141,46,65.65090340000461,,,,,,,,,65.64213419999578,65.65090340000461,65.80236770000192,65.80379829999583,65.81958009999653,65.81958009999653,65.81958009999653,65.81958009999653,65.81958009999653,65.81958009999653,65.83522249999805,0,,,1,[0.015255699996487238],[0.015260200001648627],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/004_o_m_a_b.jpg,anger,142,70,1,0,,,1,[0.027812400003313087],[0.02781689999392256],0,,,0,,,0,,,0,,,1,70,142,1,65.95344500000647,,,,,,,,,65.94449589999567,65.95344500000647,66.09772069999599,66.0982956999942,66.11813200000324,66.11813200000324,66.11813200000324,66.11813200000324,66.11813200000324,66.11813200000324,66.14636369999789,0,,,1,[0.027812400003313087],[0.02781689999392256],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/079_o_f_h_b.jpg,happiness,143,71,1,0,,,1,[0.04843569999502506],[0.04844220000086352],0,,,0,,,0,,,0,,,1,71,143,31,66.26845350000076,,,,,,,,,66.2600686000078,66.26845350000076,66.41847530000086,66.41894600000523,66.43262580000737,66.43262580000737,66.43262580000737,66.43262580000737,66.43262580000737,66.43262580000737,66.48152699999628,0,,,1,[0.04843569999502506],[0.04844220000086352],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/116_m_m_f_a.jpg,fear,144,0,2,0,,,1,[0.049956499991822056],[0.04996289999689907],0,,,0,,,0,,,0,,,2,0,144,40,66.58998600000632,,,,,,,,,66.5809745000006,66.58998600000632,66.73747930000536,66.73813369999698,66.74967560000368,66.74967560000368,66.74967560000368,66.74967560000368,66.74967560000368,66.74967560000368,66.80005560000427,0,,,1,[0.049956499991822056],[0.04996289999689907],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/116_m_m_d_a.jpg,disgust,145,1,2,0,,,1,[0.06926920000114478],[0.06927549999090843],0,,,0,,,0,,,0,,,2,1,145,38,66.91504120000172,,,,,,,,,66.90524300000106,66.91504120000172,67.06439159999718,67.0651058999938,67.07895930000814,67.07895930000814,67.07895930000814,67.07895930000814,67.07895930000814,67.07895930000814,67.14883669999836,0,,,1,[0.06926920000114478],[0.06927549999090843],0,,,0,,,disgust,1,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/004_o_m_d_b.jpg,disgust,146,2,2,0,,,1,[0.04967930000566412],[0.04968640000151936],0,,,0,,,0,,,0,,,2,2,146,3,67.2701081999985,,,,,,,,,67.26096290000714,67.2701081999985,67.41847330000019,67.41894889999821,67.43091249999998,67.43091249999998,67.43091249999998,67.43091249999998,67.43091249999998,67.43091249999998,67.4812191999954,0,,,1,[0.04967930000566412],[0.04968640000151936],0,,,0,,,disgust,1,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/140_y_f_d_a.jpg,disgust,147,3,2,0,,,1,[0.036672600006568246],[0.03667760000098497],0,,,0,,,0,,,0,,,2,3,147,50,67.60280730000522,,,,,,,,,67.59479930000089,67.60280730000522,67.75186410000606,67.75227700000687,67.76492630000575,67.76492630000575,67.76492630000575,67.76492630000575,67.76492630000575,67.76492630000575,67.80208049999783,0,,,1,[0.036672600006568246],[0.03667760000098497],0,,,0,,,disgust,1,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/066_y_m_h_a.jpg,happiness,148,4,2,0,,,1,[0.05649250000715256],[0.0564998000045307],0,,,0,,,0,,,0,,,2,4,148,18,67.9269670000067,,,,,,,,,67.9188179000048,67.9269670000067,68.06011489999946,68.06118069999502,68.07402490000823,68.07402490000823,68.07402490000823,68.07402490000823,68.07402490000823,68.07402490000823,68.1312489999982,0,,,1,[0.05649250000715256],[0.0564998000045307],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/066_y_m_d_a.jpg,disgust,149,5,2,0,,,1,[0.031023200004710816],[0.031028500001411885],0,,,0,,,0,,,0,,,2,5,149,14,68.24395139999979,,,,,,,,,68.23497910000151,68.24395139999979,68.39291670000239,68.39429749999545,68.40931940000155,68.40931940000155,68.40931940000155,68.40931940000155,68.40931940000155,68.40931940000155,68.4407887999987,0,,,1,[0.031023200004710816],[0.031028500001411885],0,,,0,,,disgust,1,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/140_y_f_n_a.jpg,neutrality,150,6,2,0,,,1,[0.04577690000587609],[0.04578200000105426],0,,,0,,,0,,,0,,,2,6,150,56,68.55446129999473,,,,,,,,,68.54655090000597,68.55446129999473,68.70604659999663,68.70728010000312,68.72115300000587,68.72115300000587,68.72115300000587,68.72115300000587,68.72115300000587,68.72115300000587,68.7673752999981,0,,,1,[0.04577690000587609],[0.04578200000105426],0,,,0,,,disgust,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/168_m_f_a_b.jpg,anger,151,7,2,0,,,0,,,0,,,0,,,0,,,1,[0.3003056000015931],[0.30031539998890366],2,7,151,61,68.86917540000286,,,,,,,,,68.86163270000543,68.86917540000286,69.03052729999763,69.03108220000286,69.05118910000601,69.05118910000601,69.05118910000601,69.05118910000601,69.05118910000601,69.05118910000601,69.35189020000689,0,,,0,,,0,,,0,,,sadness,0,0,,,1,[0.3003056000015931],[0.30031539998890366],490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/004_o_m_n_b.jpg,neutrality,152,8,2,0,,,0,,,0,,,0,,,0,,,1,[0.01507379999384284],[0.015077799995196983],2,8,152,9,69.47915230000217,,,,,,,,,69.47110029999749,69.47915230000217,69.60681589999876,69.60710839999956,69.62783769999805,69.62783769999805,69.62783769999805,69.62783769999805,69.62783769999805,69.62783769999805,69.64315109999734,0,,,0,,,0,,,0,,,sadness,0,0,,,1,[0.01507379999384284],[0.015077799995196983],490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
