image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger_2.numClicks,btn_anger_2.timesOn,btn_anger_2.timesOff,btn_disgust_2.numClicks,btn_disgust_2.timesOn,btn_disgust_2.timesOff,btn_fear_2.numClicks,btn_fear_2.timesOn,btn_fear_2.timesOff,btn_happiness_2.numClicks,btn_happiness_2.timesOn,btn_happiness_2.timesOff,btn_neutrality_2.numClicks,btn_neutrality_2.timesOn,btn_neutrality_2.timesOff,btn_sadness_2.numClicks,btn_sadness_2.timesOn,btn_sadness_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial_face.started,trial_face.stopped,trial_response.started,btn_anger_2.started,btn_disgust_2.started,btn_fear_2.started,btn_happiness_2.started,btn_neutrality_2.started,btn_sadness_2.started,trial_response.stopped,trials.btn_anger_2.numClicks,trials.btn_anger_2.timesOn,trials.btn_anger_2.timesOff,trials.btn_disgust_2.numClicks,trials.btn_disgust_2.timesOn,trials.btn_disgust_2.timesOff,trials.btn_fear_2.numClicks,trials.btn_fear_2.timesOn,trials.btn_fear_2.timesOff,trials.btn_happiness_2.numClicks,trials.btn_happiness_2.timesOn,trials.btn_happiness_2.timesOff,clickedEmotion,correct,trials.btn_neutrality_2.numClicks,trials.btn_neutrality_2.timesOn,trials.btn_neutrality_2.timesOff,trials.btn_sadness_2.numClicks,trials.btn_sadness_2.timesOn,trials.btn_sadness_2.timesOff,image_stim.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/116_m_m_f_b.jpg,fear,9,9,0,0,,,1,[0.2621538000094006],[0.2621631000074558],0,,,0,,,0,,,0,,,0,9,9,41,8.80788659999962,,,,,,,,,8.793488799987244,8.820550699994783,8.820825899994816,8.83919299999252,8.83919299999252,8.83919299999252,8.83919299999252,8.83919299999252,8.83919299999252,9.102194299994153,0,,,1,[0.2621538000094006],[0.2621631000074558],0,,,0,,,disgust,0,0,,,0,,,8.80788659999962,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/079_o_f_d_a.jpg,disgust,10,10,0,0,,,1,[0.26355690001219045],[0.26356660001329146],0,,,0,,,0,,,0,,,0,10,10,26,9.349486299994169,,,,,,,,,9.337181399998371,9.35357129998738,9.354017999998177,9.369756099986262,9.369756099986262,9.369756099986262,9.369756099986262,9.369756099986262,9.369756099986262,9.634125699987635,0,,,1,[0.26355690001219045],[0.26356660001329146],0,,,0,,,disgust,1,0,,,0,,,9.349486299994169,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/066_y_m_h_b.jpg,happiness,11,11,0,0,,,1,[0.17247299999871757],[0.17248760000802577],0,,,0,,,0,,,0,,,0,11,11,19,9.818088799991529,,,,,,,,,9.807711699992069,9.93675209999492,9.937199499996495,9.956836699988344,9.956836699988344,9.956836699988344,9.956836699988344,9.956836699988344,9.956836699988344,10.130221599989454,0,,,1,[0.17247299999871757],[0.17248760000802577],0,,,0,,,disgust,0,0,,,0,,,9.818088799991529,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/079_o_f_s_a.jpg,sadness,12,12,0,0,,,1,[0.25162169999384787],[0.2516317999979947],0,,,0,,,0,,,0,,,0,12,12,34,10.375148699997226,,,,,,,,,10.363030499996967,10.388356399998884,10.388606799999252,10.404996199999005,10.404996199999005,10.404996199999005,10.404996199999005,10.404996199999005,10.404996199999005,10.657513499987544,0,,,1,[0.25162169999384787],[0.2516317999979947],0,,,0,,,disgust,0,0,,,0,,,10.375148699997226,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/168_m_f_h_b.jpg,happiness,13,13,0,0,,,1,[0.0754979000048479],[0.07550730000366457],0,,,0,,,0,,,0,,,0,13,13,67,10.834546099998988,,,,,,,,,10.824018100000103,10.950611699998262,10.95102959999349,10.969942899988382,10.969942899988382,10.969942899988382,10.969942899988382,10.969942899988382,10.969942899988382,11.046344599992153,0,,,1,[0.0754979000048479],[0.07550730000366457],0,,,0,,,disgust,0,0,,,0,,,10.834546099998988,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/116_m_m_s_a.jpg,sadness,14,14,0,0,,,1,[0.28070289999595843],[0.28071300000010524],0,,,0,,,0,,,0,,,0,14,14,46,11.27501559999655,,,,,,,,,11.262350499993772,11.300238499999978,11.300504399987403,11.316864599997643,11.316864599997643,11.316864599997643,11.316864599997643,11.316864599997643,11.316864599997643,11.598474999991595,0,,,1,[0.28070289999595843],[0.28071300000010524],0,,,0,,,disgust,0,0,,,0,,,11.27501559999655,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/004_o_m_h_a.jpg,happiness,15,15,0,0,,,1,[0.23978630000783596],[0.23979950000648387],0,,,0,,,0,,,0,,,0,15,15,6,11.83526159999019,,,,,,,,,11.82289649998711,11.86160089999612,11.861940799994045,11.880721299996367,11.880721299996367,11.880721299996367,11.880721299996367,11.880721299996367,11.880721299996367,12.121638799988432,0,,,1,[0.23978630000783596],[0.23979950000648387],0,,,0,,,disgust,0,0,,,0,,,11.83526159999019,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/116_m_m_n_a.jpg,neutrality,16,16,0,0,,,1,[0.1871580000006361],[0.1871677000017371],0,,,0,,,0,,,0,,,0,16,16,44,12.354428599996027,,,,,,,,,12.34158199999365,12.374220300000161,12.37448799998674,12.39383239999006,12.39383239999006,12.39383239999006,12.39383239999006,12.39383239999006,12.39383239999006,12.581959699993604,0,,,1,[0.1871580000006361],[0.1871677000017371],0,,,0,,,disgust,0,0,,,0,,,12.354428599996027,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/116_m_m_h_a.jpg,happiness,17,17,0,0,,,1,[0.17170799999439623],[0.1717175999947358],0,,,0,,,0,,,0,,,0,17,17,42,12.817813999994542,,,,,,,,,12.804006899998058,12.837208999990253,12.837485399999423,12.853704499997548,12.853704499997548,12.853704499997548,12.853704499997548,12.853704499997548,12.853704499997548,13.026258899990353,0,,,1,[0.17170799999439623],[0.1717175999947358],0,,,0,,,disgust,0,0,,,0,,,12.817813999994542,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/140_y_f_f_a.jpg,fear,18,18,0,0,,,1,[0.0014787999971304089],[0.0014916999934939668],0,,,0,,,0,,,0,,,0,18,18,52,13.269941699996707,,,,,,,,,13.25753829999303,13.283142999993288,13.283367599986377,13.303745799988974,13.303745799988974,13.303745799988974,13.303745799988974,13.303745799988974,13.303745799988974,13.306184599990956,0,,,1,[0.0014787999971304089],[0.0014916999934939668],0,,,0,,,disgust,0,0,,,0,,,13.269941699996707,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
