8.0585 	EXP 	New trial (rep=0, index=10): <Trial 10 (10 in rep 0) data={'image_file': 'faces/004_o_m_f_a.jpg', 'correct_emotion': 'fear', 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 0}>
8.1343 	DATA 	Mouse:  Left button up, pos=(1251,347)
8.1458 	EXP 	imageStim: autoDraw = False
8.1458 	EXP 	imageStim: image = 'faces/004_o_m_f_a.jpg'
8.1458 	EXP 	imageStim: autoDraw = True
8.2398 	DATA 	Mouse: Left button down, pos=(1251,347)
8.2468 	EXP 	New trial (rep=0, index=11): <Trial 11 (11 in rep 0) data={'image_file': 'faces/004_o_m_n_a.jpg', 'correct_emotion': 'neutrality', 'thisN': 11, 'thisTrialN': 11, 'thisRepN': 0}>
8.3233 	DATA 	Mouse:  Left button up, pos=(1251,347)
8.3343 	EXP 	imageStim: autoDraw = False
8.3343 	EXP 	imageStim: image = 'faces/004_o_m_n_a.jpg'
8.3343 	EXP 	imageStim: autoDraw = True
8.4178 	DATA 	Mouse: Left button down, pos=(1251,347)
8.4185 	EXP 	New trial (rep=0, index=12): <Trial 12 (12 in rep 0) data={'image_file': 'faces/116_m_m_h_a.jpg', 'correct_emotion': 'happiness', 'thisN': 12, 'thisTrialN': 12, 'thisRepN': 0}>
8.5034 	EXP 	imageStim: autoDraw = False
8.5034 	EXP 	imageStim: image = 'faces/116_m_m_h_a.jpg'
8.5034 	EXP 	imageStim: autoDraw = True
8.5208 	DATA 	Mouse:  Left button up, pos=(1253,347)
8.6176 	DATA 	Mouse: Left button down, pos=(1253,347)
8.6183 	EXP 	New trial (rep=0, index=13): <Trial 13 (13 in rep 0) data={'image_file': 'faces/079_o_f_s_b.jpg', 'correct_emotion': 'sadness', 'thisN': 13, 'thisTrialN': 13, 'thisRepN': 0}>
8.6975 	DATA 	Mouse:  Left button up, pos=(1253,347)
8.7072 	EXP 	imageStim: autoDraw = False
8.7072 	EXP 	imageStim: image = 'faces/079_o_f_s_b.jpg'
8.7072 	EXP 	imageStim: autoDraw = True
8.7847 	DATA 	Mouse: Right button down, pos=(1253,347)
8.7856 	EXP 	New trial (rep=0, index=14): <Trial 14 (14 in rep 0) data={'image_file': 'faces/168_m_f_s_a.jpg', 'correct_emotion': 'sadness', 'thisN': 14, 'thisTrialN': 14, 'thisRepN': 0}>
8.8707 	EXP 	imageStim: autoDraw = False
8.8707 	EXP 	imageStim: image = 'faces/168_m_f_s_a.jpg'
8.8707 	EXP 	imageStim: autoDraw = True
8.8885 	DATA 	Mouse: Left button down, pos=(1253,347)
8.9120 	DATA 	Mouse:  Right button up, pos=(1253,347)
8.9927 	DATA 	Mouse:  Left button up, pos=(1253,347)
9.0000 	DATA 	Mouse: Right button down, pos=(1253,347)
9.0006 	EXP 	New trial (rep=0, index=15): <Trial 15 (15 in rep 0) data={'image_file': 'faces/168_m_f_h_b.jpg', 'correct_emotion': 'happiness', 'thisN': 15, 'thisTrialN': 15, 'thisRepN': 0}>
9.0968 	EXP 	imageStim: autoDraw = False
9.0968 	EXP 	imageStim: image = 'faces/168_m_f_h_b.jpg'
9.0968 	EXP 	imageStim: autoDraw = True
9.1075 	DATA 	Mouse:  Right button up, pos=(1253,347)
9.1114 	DATA 	Mouse: Left button down, pos=(1253,347)
9.1149 	EXP 	New trial (rep=0, index=16): <Trial 16 (16 in rep 0) data={'image_file': 'faces/140_y_f_h_a.jpg', 'correct_emotion': 'happiness', 'thisN': 16, 'thisTrialN': 16, 'thisRepN': 0}>
9.2111 	DATA 	Mouse:  Left button up, pos=(1253,347)
9.2221 	EXP 	imageStim: autoDraw = False
9.2221 	EXP 	imageStim: image = 'faces/140_y_f_h_a.jpg'
9.2221 	EXP 	imageStim: autoDraw = True
9.2980 	DATA 	Mouse: Left button down, pos=(1253,347)
9.2987 	EXP 	New trial (rep=0, index=17): <Trial 17 (17 in rep 0) data={'image_file': 'faces/066_y_m_s_a.jpg', 'correct_emotion': 'sadness', 'thisN': 17, 'thisTrialN': 17, 'thisRepN': 0}>
9.3729 	DATA 	Mouse:  Left button up, pos=(1253,347)
9.3836 	EXP 	imageStim: autoDraw = False
9.3836 	EXP 	imageStim: image = 'faces/066_y_m_s_a.jpg'
9.3836 	EXP 	imageStim: autoDraw = True
9.3994 	DATA 	Mouse: Left button down, pos=(1253,347)
9.4061 	EXP 	New trial (rep=0, index=18): <Trial 18 (18 in rep 0) data={'image_file': 'faces/004_o_m_s_a.jpg', 'correct_emotion': 'sadness', 'thisN': 18, 'thisTrialN': 18, 'thisRepN': 0}>
9.4826 	DATA 	Mouse:  Left button up, pos=(1253,347)
9.4949 	EXP 	imageStim: autoDraw = False
9.4949 	EXP 	imageStim: image = 'faces/004_o_m_s_a.jpg'
9.4949 	EXP 	imageStim: autoDraw = True
