image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction_text.stopped,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/168_m_f_a_b.jpg,anger,19,19,0,0,,,1,[0.055885200010379776],[0.05588870000792667],0,,,0,,,0,,,0,,,0,19,19,61,7.4328977999975905,,,,,,,,,,7.421623400005046,7.4328977999975905,7.4328977999975905,7.4328977999975905,7.4328977999975905,7.4328977999975905,7.4328977999975905,7.4328977999975905,,7.489102399995318,0,,,disgust,0,1,[0.055885200010379776],[0.05588870000792667],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/066_y_m_f_b.jpg,fear,20,20,0,0,,,1,[0.07597550001810305],[0.07598010002402589],0,,,0,,,0,,,0,,,0,20,20,17,7.572340199985774,,,,,,,,,,7.561434000002919,7.572340199985774,7.572340199985774,7.572340199985774,7.572340199985774,7.572340199985774,7.572340199985774,7.572340199985774,,7.648744900012389,0,,,disgust,0,1,[0.07597550001810305],[0.07598010002402589],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/140_y_f_d_a.jpg,disgust,21,21,0,0,,,1,[0.06437479998567142],[0.06437809998169541],0,,,0,,,0,,,0,,,0,21,21,50,7.736027600010857,,,,,,,,,,7.72583099998883,7.736027600010857,7.736027600010857,7.736027600010857,7.736027600010857,7.736027600010857,7.736027600010857,7.736027600010857,,7.80072790000122,0,,,disgust,1,1,[0.06437479998567142],[0.06437809998169541],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/140_y_f_d_b.jpg,disgust,22,22,0,0,,,1,[0.09748900000704452],[0.09749260000535287],0,,,0,,,0,,,0,,,0,22,22,51,7.891943199996604,,,,,,,,,,7.878787399997236,7.891943199996604,7.891943199996604,7.891943199996604,7.891943199996604,7.891943199996604,7.891943199996604,7.891943199996604,,7.9897550999885425,0,,,disgust,1,1,[0.09748900000704452],[0.09749260000535287],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/004_o_m_a_b.jpg,anger,23,23,0,0,,,1,[0.05403820000356063],[0.054042500007199124],0,,,0,,,0,,,0,,,0,23,23,1,8.072959399985848,,,,,,,,,,8.063227700011339,8.072959399985848,8.072959399985848,8.072959399985848,8.072959399985848,8.072959399985848,8.072959399985848,8.072959399985848,,8.127317400008906,0,,,disgust,0,1,[0.05403820000356063],[0.054042500007199124],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/140_y_f_f_a.jpg,fear,24,24,0,0,,,1,[0.11732630000915378],[0.11732950000441633],0,,,0,,,0,,,0,,,0,24,24,52,8.218244799994864,,,,,,,,,,8.204535099997884,8.218244799994864,8.218244799994864,8.218244799994864,8.218244799994864,8.218244799994864,8.218244799994864,8.218244799994864,,8.335936899995431,0,,,disgust,0,1,[0.11732630000915378],[0.11732950000441633],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/168_m_f_n_a.jpg,neutrality,25,25,0,0,,,1,[0.10982300000614487],[0.10982640000293031],0,,,0,,,0,,,0,,,0,25,25,68,8.420064900012221,,,,,,,,,,8.406726399989566,8.420064900012221,8.420064900012221,8.420064900012221,8.420064900012221,8.420064900012221,8.420064900012221,8.420064900012221,,8.530220299988287,0,,,disgust,0,1,[0.10982300000614487],[0.10982640000293031],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/004_o_m_n_a.jpg,neutrality,26,26,0,0,,,1,[0.21753649998572655],[0.21753970001009293],0,,,0,,,0,,,0,,,0,26,26,8,8.617663000011817,,,,,,,,,,8.60512990001007,8.617663000011817,8.617663000011817,8.617663000011817,8.617663000011817,8.617663000011817,8.617663000011817,8.617663000011817,,8.835560999985319,0,,,disgust,0,1,[0.21753649998572655],[0.21753970001009293],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/079_o_f_f_b.jpg,fear,27,27,0,0,,,1,[0.10424600000260398],[0.10425020000548102],0,,,0,,,0,,,0,,,0,27,27,29,8.92611770000076,,,,,,,,,,8.914656200009631,8.92611770000076,8.92611770000076,8.92611770000076,8.92611770000076,8.92611770000076,8.92611770000076,8.92611770000076,,9.030739000008907,0,,,disgust,0,1,[0.10424600000260398],[0.10425020000548102],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/079_o_f_d_b.jpg,disgust,28,28,0,0,,,1,[0.1954416999942623],[0.19544529999257065],0,,,0,,,0,,,0,,,0,28,28,27,9.120736999990186,,,,,,,,,,9.11085979998461,9.120736999990186,9.120736999990186,9.120736999990186,9.120736999990186,9.120736999990186,9.120736999990186,9.120736999990186,,9.316530799987959,0,,,disgust,1,1,[0.1954416999942623],[0.19544529999257065],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
