image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,imageStim.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/140_y_f_f_b.jpg,fear,24,24,0,0,,,1,[0.07953769998857751],[0.07954249999602325],0,,,0,,,0,,,0,,,0,24,24,53,10.482741199986776,,,,,,,,,10.472052299999632,10.482741199986776,10.482741199986776,10.482741199986776,10.482741199986776,10.482741199986776,10.482741199986776,10.482741199986776,10.562606999999844,0,,,disgust,0,1,[0.07953769998857751],[0.07954249999602325],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/004_o_m_s_b.jpg,sadness,25,25,0,0,,,1,[0.0968738000083249],[0.09687809998285957],0,,,0,,,0,,,0,,,0,25,25,11,10.660187899979064,,,,,,,,,10.64678229999845,10.660187899979064,10.660187899979064,10.660187899979064,10.660187899979064,10.660187899979064,10.660187899979064,10.660187899979064,10.7575397999899,0,,,disgust,0,1,[0.0968738000083249],[0.09687809998285957],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/140_y_f_h_a.jpg,happiness,26,26,0,0,,,1,[0.09957489999942482],[0.09957880000001751],0,,,0,,,0,,,0,,,0,26,26,54,10.873491999984253,,,,,,,,,10.859597100003157,10.873491999984253,10.873491999984253,10.873491999984253,10.873491999984253,10.873491999984253,10.873491999984253,10.873491999984253,10.973512099997606,0,,,disgust,0,1,[0.09957489999942482],[0.09957880000001751],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/079_o_f_s_a.jpg,sadness,27,27,0,0,,,1,[0.10131810000166297],[0.10132220000377856],0,,,0,,,0,,,0,,,0,27,27,34,11.070796699990751,,,,,,,,,11.055081500002416,11.070796699990751,11.070796699990751,11.070796699990751,11.070796699990751,11.070796699990751,11.070796699990751,11.070796699990751,11.172476199979428,0,,,disgust,0,1,[0.10131810000166297],[0.10132220000377856],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/168_m_f_a_a.jpg,anger,28,28,0,0,,,1,[0.10031360000721179],[0.10031660000095144],0,,,0,,,0,,,0,,,0,28,28,60,11.257466399983969,,,,,,,,,11.245836399990367,11.257466399983969,11.257466399983969,11.257466399983969,11.257466399983969,11.257466399983969,11.257466399983969,11.257466399983969,11.358204899996053,0,,,disgust,0,1,[0.10031360000721179],[0.10031660000095144],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/140_y_f_a_b.jpg,anger,29,29,0,0,,,1,[0.08380540000507608],[0.08380880000186153],0,,,0,,,0,,,0,,,0,29,29,49,11.449942499981262,,,,,,,,,11.43809670000337,11.449942499981262,11.449942499981262,11.449942499981262,11.449942499981262,11.449942499981262,11.449942499981262,11.449942499981262,11.534044200001517,0,,,disgust,0,1,[0.08380540000507608],[0.08380880000186153],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/116_m_m_f_a.jpg,fear,30,30,0,0,,,1,[0.0907188999990467],[0.0907223999965936],0,,,0,,,0,,,0,,,0,30,30,40,11.616416399978334,,,,,,,,,11.605540299991844,11.616416399978334,11.616416399978334,11.616416399978334,11.616416399978334,11.616416399978334,11.616416399978334,11.616416399978334,11.707465499988757,0,,,disgust,0,1,[0.0907188999990467],[0.0907223999965936],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/079_o_f_f_b.jpg,fear,31,31,0,0,,,1,[0.11332639999454841],[0.1133302999951411],0,,,0,,,0,,,0,,,0,31,31,29,11.79757189998054,,,,,,,,,11.785427900002105,11.79757189998054,11.79757189998054,11.79757189998054,11.79757189998054,11.79757189998054,11.79757189998054,11.79757189998054,11.911257999978261,0,,,disgust,0,1,[0.11332639999454841],[0.1133302999951411],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/079_o_f_d_b.jpg,disgust,32,32,0,0,,,1,[0.11571250000270084],[0.11571569999796338],0,,,0,,,0,,,0,,,0,32,32,27,11.996603599982336,,,,,,,,,11.985242700000526,11.996603599982336,11.996603599982336,11.996603599982336,11.996603599982336,11.996603599982336,11.996603599982336,11.996603599982336,12.112631099997088,0,,,disgust,1,1,[0.11571250000270084],[0.11571569999796338],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/116_m_m_f_b.jpg,fear,33,33,0,0,,,1,[0.08955950001836754],[0.08956240001134574],0,,,0,,,0,,,0,,,0,33,33,41,12.201533899991773,,,,,,,,,12.190378599974792,12.201533899991773,12.201533899991773,12.201533899991773,12.201533899991773,12.201533899991773,12.201533899991773,12.201533899991773,12.291403999988688,0,,,disgust,0,1,[0.08955950001836754],[0.08956240001134574],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
