image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/116_m_m_h_b.jpg,happiness,15,15,0,0,,,0,,,0,,,0,,,1,[0.07552939999732189],[0.07553229999030009],0,,,0,15,15,43,6.71881009999197,,6.7048037000058684,6.71881009999197,6.71881009999197,6.71881009999197,6.71881009999197,6.71881009999197,6.71881009999197,6.79454989999067,0,,,neutrality,0,0,,,0,,,0,,,1,[0.07552939999732189],[0.07553229999030009],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_f_a.jpg,fear,16,16,0,0,,,0,,,0,,,0,,,1,[0.6863277000084054],[0.6863311000051908],0,,,0,16,16,16,6.878770400013309,,6.870395600009942,6.878770400013309,6.878770400013309,6.878770400013309,6.878770400013309,6.878770400013309,6.878770400013309,7.565293599996949,0,,,neutrality,0,0,,,0,,,0,,,1,[0.6863277000084054],[0.6863311000051908],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_h_a.jpg,happiness,17,17,0,0,,,0,,,0,,,0,,,1,[0.12587039999198169],[0.12587489999714307],0,,,0,17,17,18,7.656701900006738,,7.642141099990113,7.656701900006738,7.656701900006738,7.656701900006738,7.656701900006738,7.656701900006738,7.656701900006738,7.782807499985211,0,,,neutrality,0,0,,,0,,,0,,,1,[0.12587039999198169],[0.12587489999714307],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_d_a.jpg,disgust,18,18,0,0,,,0,,,0,,,0,,,1,[0.08706160000292584],[0.08706459999666549],0,,,0,18,18,14,7.873617600009311,,7.864339299994754,7.873617600009311,7.873617600009311,7.873617600009311,7.873617600009311,7.873617600009311,7.873617600009311,7.9608590999851,0,,,neutrality,0,0,,,0,,,0,,,1,[0.08706160000292584],[0.08706459999666549],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/004_o_m_h_a.jpg,happiness,19,19,0,0,,,0,,,0,,,0,,,1,[0.09624840001924895],[0.09625210001831874],0,,,0,19,19,6,8.052407899987884,,8.039423000009265,8.052407899987884,8.052407899987884,8.052407899987884,8.052407899987884,8.052407899987884,8.052407899987884,8.148850199999288,0,,,neutrality,0,0,,,0,,,0,,,1,[0.09624840001924895],[0.09625210001831874],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/140_y_f_s_a.jpg,sadness,20,20,0,0,,,0,,,0,,,0,,,1,[0.02685699998983182],[0.02685999998357147],0,,,0,20,20,58,8.253499899990857,,8.243583000003127,8.253499899990857,8.253499899990857,8.253499899990857,8.253499899990857,8.253499899990857,8.253499899990857,8.280543200002285,0,,,neutrality,0,0,,,0,,,0,,,1,[0.02685699998983182],[0.02685999998357147],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/079_o_f_a_a.jpg,anger,21,21,0,0,,,0,,,0,,,0,,,1,[0.07468269998207688],[0.07468579997657798],0,,,0,21,21,24,8.365983199997572,,8.356770899990806,8.365983199997572,8.365983199997572,8.365983199997572,8.365983199997572,8.365983199997572,8.365983199997572,8.440896899992367,0,,,neutrality,0,0,,,0,,,0,,,1,[0.07468269998207688],[0.07468579997657798],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/004_o_m_n_a.jpg,neutrality,22,22,0,0,,,0,,,0,,,0,,,1,[0.08924739999929443],[0.08925039999303408],0,,,0,22,22,8,8.524380799994105,,8.51256239999202,8.524380799994105,8.524380799994105,8.524380799994105,8.524380799994105,8.524380799994105,8.524380799994105,8.613846399995964,0,,,neutrality,1,0,,,0,,,0,,,1,[0.08924739999929443],[0.08925039999303408],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_a_a.jpg,anger,23,23,0,0,,,0,,,0,,,0,,,1,[0.09629290000884794],[0.09629580000182614],0,,,0,23,23,12,8.698131699988153,,8.688794199988479,8.698131699988153,8.698131699988153,8.698131699988153,8.698131699988153,8.698131699988153,8.698131699988153,8.794628600007854,0,,,neutrality,0,0,,,0,,,0,,,1,[0.09629290000884794],[0.09629580000182614],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_a_b.jpg,anger,24,24,0,0,,,0,,,0,,,0,,,1,[0.0976344000082463],[0.0976375000027474],0,,,0,24,24,13,8.877250099991215,,8.868221699987771,8.877250099991215,8.877250099991215,8.877250099991215,8.877250099991215,8.877250099991215,8.877250099991215,8.97505569999339,0,,,neutrality,0,0,,,0,,,0,,,1,[0.0976344000082463],[0.0976375000027474],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
